1.825352323854630754e+02,9.658525609182476046e+01,1.994132798542254079e+02,3.169807581722819805e+02,1.179148080688109843e+02,3.125599599851812513e+02,2.579026645917348333e+02,9.260618087921967856e+01,1.823790217661385213e+02
1.384694664557202373e+02,5.603421948828447086e+01,2.037050143679645942e+02,1.984414559059139549e+02,5.820925737444232340e+01,2.138964959076364494e+02,2.022726739728107930e+02,5.596255381970961906e+01,1.317908278420487989e+02
1.670320486854072442e+03,1.495093752576010502e+02,1.130171364717874951e+02,2.436074955823013113e+02,2.497299118623734273e+02,2.423660573038026484e+02,1.110084206938418561e+02,1.467554814450610365e+02,1.406339436988974057e+03
1.358808501366566475e+02,5.716698870677412003e+01,8.022950353061293072e+02,9.324612361072852309e+02,6.344431864368652896e+01,5.622805070029656918e+02,1.203750034192649537e+03,5.503391386214232028e+01,1.367916553028752844e+02
2.171303832082244298e+02,1.164421166119507234e+02,1.166517067609192600e+04,8.958616585571631958e+02,1.358135454392449333e+02,1.010423479264492016e+03,1.894754652724953849e+04,1.146438198424906432e+02,2.164868538516505510e+02
5.548802625639880262e+02,5.632608501512156636e+02,1.576332234201384210e+02,4.040909296861470352e+02,1.083207501697886300e+03,4.094050201976005496e+02,1.417307972450932994e+02,3.593163564898396771e+02,5.057334368833963367e+02
1.121848184632887779e+02,4.388230923087156299e+01,1.994525302995188838e+02,8.452011773554239653e+02,6.461502073695015724e+01,7.637878171416558644e+02,1.999624465646582792e+02,4.310428878811926268e+01,1.133153923101081659e+02
5.399667718262581957e+02,3.310550120543760499e+02,1.446105051092407621e+02,4.291094351273017082e+02,1.267349598931231640e+03,4.273457707039503930e+02,1.403709624898916388e+02,5.316814147057941682e+02,5.669700635665815298e+02
2.150179062087013335e+02,1.174239632548355559e+02,2.875353536708633783e+03,1.219764192776031678e+03,1.369410857157719192e+02,1.548127394083526497e+03,2.911472623973112150e+03,1.190875740511254861e+02,2.059775676355914698e+02
1.402819653781350269e+02,5.450355927231253617e+01,1.005753401596143249e+03,6.600313069915330288e+02,6.275102459698923951e+01,6.284307211393352190e+02,7.895578870193802459e+02,5.285264064867462963e+01,1.297982442833581445e+02
1.477670822762240505e+03,1.474613104012222777e+02,1.115710531393219185e+02,2.462354505325362481e+02,2.500872647543394294e+02,2.330511327663357690e+02,1.147704869641126066e+02,1.517625863030360449e+02,1.656148551956123129e+03
1.315886225271826788e+02,5.618209963728816092e+01,1.882057649514270850e+02,2.122411984361370685e+02,5.785388057691052666e+01,2.058148387521999041e+02,1.896537899103562950e+02,5.551001501998161558e+01,1.358496185047916072e+02
1.769186392976028515e+02,8.913834407650405467e+01,2.402091907511087072e+02,3.127566805843062525e+02,1.036857324089613144e+02,3.103762017885873661e+02,2.343262191984322271e+02,8.909607937492197038e+01,1.804957554780943951e+02
